,Hindi,English,Hinglish,English_Part,To_Translate,Translated
100,मल्स शवा स जस्ट वेरी गुड डिस्कशन विद हिम,Malts Body Charst Weavery Good Disk Spravation Snow,Malts Body Charst Weavery Good Disk Spravation Snow ,Malts Body Charst Weavery Good Disk Spravation Snow,,
101,ही टोल्ड मी अ लॉट ऑफ थिंग्स अबाउट माय,Sold Mie A Loot of the Things May,Sold Mie A Loot of the स्थिति मई,Sold Mie A Loot of the,Things May,स्थिति मई
102,बैक एंड वी आर गोइंग टू हैव सोना विथ आइस,Back and W W Wand to Gov gold Withal,Back and W W Wand to सोने की खान,Back and W W Wand to,Gov gold Withal,सोने की खान
103,कोल्ड शवर आई एम वेरी स्केड बट नो नीड टू,Cold Body IR MIVE SIVOR NUN NADED TO,Cold Body IR MIVE SIVOR NUN NADED TO ,Cold Body IR MIVE SIVOR NUN NADED TO,,
104,गेट स्कैट वी आर गोइंग टू गेट हिम कोल्ड,Gate Skat V Ring to Go to Gate Snow,Gate Skat V Ring to Go to गेट बरफबारी,Gate Skat V Ring to Go to,Gate Snow,गेट बरफबारी
105,एडप एंड हीट अडॉप्टेशन दिस साना विल,Adap and Hit Adoption,Adap and हिट एडया option,Adap and,Hit Adoption,हिट एडया option
106,इंप्रूव हिज ऑल कॉस्ट मोर्टालिटी एसीए बाय,Inuit Hung Healsall Morta Syed By By,Inuit Hung Healsall Morta Syed By By ,Inuit Hung Healsall Morta Syed By By,,
107,एंड हिज कार्डियक हेल्थ विल इंप्रूव,And HIZ CardO Health Will Invest,And HIZ CardO Health Will इनवेस्ट,And HIZ CardO Health Will,Invest,इनवेस्ट
108,बाय  द प्रोटोकॉल इज वीी आर गोइंग टू,Bye The Protocol Exceeding To,Bye The Protocol Exceeding To ,Bye The Protocol Exceeding To,,
109,स्पेंड  मिनट्स इन द साना व्हेन वी कम,Spinse minutes In The Sna Vahen V less,Spinse minutes In The सोना वेन वी कम,Spinse minutes In The,Sna Vahen V less,सोना वेन वी कम
110,बैक वी आर गोइंग टू पुट द कोल्ड एक्सट्रीम,Back v Randeto Put de Clind Exitum,Back v Randeto Put de Clind Exitum ,Back v Randeto Put de Clind Exitum,,
111,हीट टू एक्सट्रीम कोल्ड यस पुट द बॉडी इन,Helt to EposEEEEE EMPERIE EMPERIE,Helt to इंसाइट ऑन द स्क्रिप्चर्स,Helt to,EposEEEEE EMPERIE EMPERIE,इंसाइट ऑन द स्क्रिप्चर्स
112,द शॉक यस एंड द पर्सन आल्सो इट विल आल्सो,The Shawk Yas and The Watchtower,The Shawk Yas and The प्रहरीदुर्ग,The Shawk Yas and The,Watchtower,प्रहरीदुर्ग
113,डू हाउ ऑफ्टन शुड वी डू इट वंस अ वीक थ्री,Doha-Hinde Veded Do It What We Do About the Weeks Three,Doha-Hinde Veded Do It What We Do About the सप्ताह तीन,Doha-Hinde Veded Do It What We Do About the,Weeks Three,सप्ताह तीन
114,टाइम्स अ वीक यू हैव टू डू ऑल द स्टडीज,Times A Weekly U.S.A. U.A. To Do All Study,Times A Weekly U.S.A. U.A. To Do All अध्ययन,Times A Weekly U.S.A. U.A. To Do All,Study,अध्ययन
115,प्रूव दैट देयर इज नो इक्विवेलेंट टैबलेट,Prejuvent de laurere No Investitutions,Prejuvent de laurere No इनवेन्स,Prejuvent de laurere No,Investitutions,इनवेन्स
116,इन द वर्ल्ड लाइक साना प्लस मेरी येय फूड,These World Lunda plus my food,These World Lunda plus my भोजन,These World Lunda plus my,food,भोजन
117,टोलरेंस रिपोर्ट भी आ चुकी है तो जो जो,What's happened if the captain's reports are gone.,What's happened if the captain's reports are चले गए।,What's happened if the captain's reports are,gone.,चले गए।
118,मुझे अच्छा लगता है वो रेड में आ चुका है,I like he's come to Red,I like he's come to लाल,I like he's come to,Red,लाल
119,सर कह रहे हैं कि थोड़ी टाइम के लिए,"Sir, they say for a while.","Sir, they say for a कुछ समय.","Sir, they say for a",while.,कुछ समय.
120,छोड़ना पड़ेगा चावल पीज एंड जो जो मैं,We've got to leave rice Pig and what I've got.,We've got to leave rice Pig and what मैं मिल गया है.,We've got to leave rice Pig and what,I've got.,मैं मिल गया है.
121,नहीं खाता वो सब ग्रीन में आया बट इट विल,Not the account it came into all green.,Not the account it came into all हरा.,Not the account it came into all,green.,हरा.
122,बी ओके डन विथ सोना एंड सोना के बाद हमने,After Beyden Vithal Gold and Gold,After Beyden Vithal Gold and सोना,After Beyden Vithal Gold and,Gold,सोना
123,कोल्ड शावर लिया पहला मग्गा सने डाला बर्फ,Cold Schaver took the first gig sygly ice,Cold Schaver took the प्रथम टाइटगाजी बर्फ,Cold Schaver took the,first gig sygly ice,प्रथम टाइटगाजी बर्फ
124,से भरा हुआ मेरे सर पे लिटरली आई स्क्रीम,Filled my head with pure paper,Filled my head with शुद्ध कागज,Filled my head with,pure paper,शुद्ध कागज
125,एंड द होटल स्टाफ केम टू चेक व्हाट हैज,And The The hotel staff's dad to check his hand.,And The The hotel staff's dad to check his हाथ।,And The The hotel staff's dad to check his,hand.,हाथ।
126,हैपेंड इट वाज गुड आई एम फीलिंग सो लाइट,"It's not as good as it's going to be, so light it's going to be.","It's not as good as it's going to be, so light it's going to हो.","It's not as good as it's going to be, so light it's going to",be.,हो.
127,टुडे सो शिवा सर इज टेलिंग मी अबाउट बायो,So Shiva Siri Telling Mia Today · Global Voices,So शिवा जरी आज मिया बता रहे हैं,So,Shiva Siri Telling Mia Today · Global Voices,शिवा जरी आज मिया बता रहे हैं
128,हैकिंग की माइंड को कैसे हैक करना है सो,How is Haking to kick the mile of Haking so that it's not going to be too late.,How is Haking to kick the mile of Haking so that it's not going to be too देर हो चुकी है.,How is Haking to kick the mile of Haking so that it's not going to be too,late.,देर हो चुकी है.
129,शी सेड कि योर वाइफ इज अनहैप्पी अबाउट,Out of the glass that Yer Waeif Exeter,Out of the glass that वाईटर,Out of the glass that,Yer Waeif Exeter,वाईटर
130,समथिंग एंड दैट इज कॉजिंग यू स्ट्रेस सो,Sanging and Expling U.S. Couching So,Sanging and Expling U.S. Couching So ,Sanging and Expling U.S. Couching So,,
131,शी इज आस्किंग थाईलैंड का अब घुमाने लेके,Let's take a walk now.,Let's take a अब चलो.,Let's take a,walk now.,अब चलो.
132,जा रहे हो ट यू आर सेइंग लेटर लेटर लेटर,Post-To-Error Leater,Post-To-Error Leater ,Post-To-Error Leater,,
133,डोंट से लेटर गिव हर अ फेक डेट लाइक नवंबर,Donant Give every throw-on-a-tower screen November,Donant Give every throw-on-a-tower screen November ,Donant Give every throw-on-a-tower screen November,,
134,थर्ड सो दैट द सर्किट इज क्लोज्ड या एंड,Third Sols de Circuit Ilared or More,Third Sols de Circuit Ilared or More ,Third Sols de Circuit Ilared or More,,
135,ऑन नवंबर च द डेट एज मेनी टाइम्स एज मेनी,On November of the date Aquin Times Age,On November of the तारीख एवेस्ट टाइम्स टाइम्स (m),On November of the,date Aquin Times Age,तारीख एवेस्ट टाइम्स टाइम्स (m)
136,टाइम्स एज वेरी गुड हैक फॉर ऑल द हस्बैंड,Times Age Wearri Good morning For All The Hushland,Times Age Wearri Good morning For All The हुशलैंडusa. kgm,Times Age Wearri Good morning For All The,Hushland,हुशलैंडusa. kgm
137,एंड ऑल द बॉयफ्रेंड एंड व्हेन नवंबर थर्ड,"And All The Grand and Our Grand Plan, November 1st.","And All The Grand and Our महान योजना, नवंबर 1st.",And All The Grand and Our,"Grand Plan, November 1st.","महान योजना, नवंबर 1st."
138,कम्स गिव अनदर डेट सो दिस वे शी विल नॉट,At least Give Anand SoBWWWt,At कम से कम विस्तार और सोबुप,At,least Give Anand SoBWWWt,कम से कम विस्तार और सोबुप
139,बी मैड एंड इनसाइड योर हेड यू हैव क्लोज द,B Mand and Inside Yoar Head Head Yuvz de H.,B Mand and यू. एस.,B Mand and,Inside Yoar Head Head Yuvz de H.,यू. एस.
140,लू इफ यू से लेटर देन इट विल बी स्टिल,LILGE from U.S.A.A. It's Will Be Steffen,LILGE from U.S.A.A. It's Will Be स्टीफनusa. kgm,LILGE from U.S.A.A. It's Will Be,Steffen,स्टीफनusa. kgm
141,पेंडिंग इन योर हेड इट विल कॉज यू स्ट्रेस,Pending Inge Head It Will Kochus,Pending Inge Head It Will कोचस,Pending Inge Head It Will,Kochus,कोचस
142,लाइक दिस यू कल कीप  ओपनिंग यस सय हैव,LycsC URL tomorrow Openings,LycsC URL tomorrow Openings ,LycsC URL tomorrow Openings,,
143,टू क्लोज एवरी ओपनिंग एंड वन द डेट कम्स,TMZ ABZ Opening and Forest The date lesss,TMZ ABZ Opening and Forest The तारीख कम,TMZ ABZ Opening and Forest The,date lesss,तारीख कम
144,यू शिफ्ट इट इन ग कैलेंडर गुड सर थैंक यू,"Let's say it's it in your big day. Good thank you, sir.","Let's say it's it in your अच्छा दिन है. धन्यवाद, सर.",Let's say it's it in your,"big day. Good thank you, sir.","अच्छा दिन है. धन्यवाद, सर."
145,सो मच एवरी बडी इज गिविंग यू सो मच,So the incident was that Anna Bedi Gypsingi was a so - called Sojourne,So the incident was that Anna Bedi Gypsingi was a so - सोत्करोन बुलाया गया,So the incident was that Anna Bedi Gypsingi was a so,- called Sojourne,- सोत्करोन बुलाया गया
146,ब्लेसिंग कसम से बहुत भयंकर रिलैक्स हो,Blessing's oath is very horrible.,Blessing's oath is very भयानक।,Blessing's oath is very,horrible.,भयानक।
147,गया मैंने फर्स्ट टाइम ट्राई किया ये आइस,I've won the full time I've run this ice,I've won the full time I've run this बर्फ,I've won the full time I've run this,ice,बर्फ
148,वाला वाला एंड सर इ गिविंग मी सम न्यू,Waller and Sir Welga Miqi,Waller and सर वेगा मिजेName,Waller and,Sir Welga Miqi,सर वेगा मिजेName
149,थिंग टू ट्राई बिफोर आई स्लीप ही टोल्ड मी,Thing to Transluner I arrived in Told m,Thing to Transluner I arrived in Told m ,Thing to Transluner I arrived in Told m,,
150,वन मोर थिंग दैट द वर्कआउट द हैवी वर्कआउट,The forest Morting Workout The Workout Work Workout,The forest Morting Workout The काम से बाहर,The forest Morting Workout The,Workout Work Workout,काम से बाहर
151,इ कॉजिंग मी अ लट ऑफ स्ट्रेस चेंज माय,El Cogeing Miet of Leots Change May,El Cogeing Miet of सिंहों का परिवर्तन मई,El Cogeing Miet of,Leots Change May,सिंहों का परिवर्तन मई
152,ट्रेनिंग स्टाइल एंड टेल मी सम एकस,Training Style and Twal Mie · Global Voices,Training Style and ट्विंश,Training Style and,Twal Mie · Global Voices,ट्विंश
153,इट कल डिनर एंड दोनों सर दे आर लुकिंग एट,It's yesterday dinner and both sire R. Watching at once.,It's yesterday dinner and both sire R. Watching at एक बार.,It's yesterday dinner and both sire R. Watching at,once.,एक बार.
154,सब,All,All ,All,,
155,वैल्यूज मेरी कुछ रिपोर्ट्स आई है आज,"Well, he's got some of my reports here today.","Well, he's got some of my reports here आज.","Well, he's got some of my reports here",today.,आज.
156,कितना साल जिऊा वो कैलकुलेट कर र है जस्ट,"How old he's been, he's taking his cell!","How old he's been, he's taking his कक्ष!","How old he's been, he's taking his",cell!,कक्ष!
157,केम बैक टू माय रूम थोड़ा सा मुझे डर लग,Start back toy room I'm afraid.,Start back toy room I'm afraid. ,Start back toy room I'm afraid.,,
158,रहा है यू नो वई ये टीवी मैं ऐसा छोड़ के,No. I'm leaving this TV.,No. I'm leaving this टीवी.,No. I'm leaving this,TV.,टीवी.
159,नहीं गया था रूम में ये टीवी ऐसा किसने कर,Who did this TV in the room?,Who did this TV in the कमरा?,Who did this TV in the,room?,कमरा?
160,दिया और ये गिरी हुई है य मैं तो नहीं,"Has it fallen, or am I not?","Has it fallen, or am I नहीं?","Has it fallen, or am I",not?,नहीं?
161,करके गया था मेरे रूम में कौन आया भाई डर,Who came in my room fearing the brother?,Who came in my room fearing the भाई?,Who came in my room fearing the,brother?,भाई?
162,लग रहा,Looks,Looks ,Looks,,
163,है,is,is ,is,,
164,ये डरावना सही अंतर लगा दिया उन्होने मेरे,They started to divide these terrible things to me.,They started to divide these terrible things to मुझे.,They started to divide these terrible things to,me.,मुझे.
165,ऊपर जदा को डरावना नहीं है स्लीप साइकिल,The bed bicycle isn't scary up.,The bed bicycle isn't डर लग रहा है.,The bed bicycle isn't,scary up.,डर लग रहा है.
166,मेजर करने के लिए कि मेरी स्लीप बसे मेरी,Major to live my bed,Major to live my केला,Major to live my,bed,केला
167,टेस्ट में आई है मेरी स्लीप क्वालिटी बहुत,"I've had a test, my sleep quality too","I've had a test, my sleep quality too ","I've had a test, my sleep quality too",,
168,ही भाईया लेवल की ू भी कहती रहती है,"It's also true that Brother Yu, of the level level, stays at home.","It's also true that Brother Yu, of the level level, stays at घर।","It's also true that Brother Yu, of the level level, stays at",home.,घर।
169,क्योंकि भाई हम लोग दिल्ली से धुए में,Because we're a brother in Delhi.,Because we're a brother in दिल्ली.,Because we're a brother in,Delhi.,दिल्ली.
170,जीने की आदत है तो वन मेजर फैक्टर इज दैट,The forest Major Factor Eclipse is used to live,The forest Major Factor Eclipse is used to जीवित,The forest Major Factor Eclipse is used to,live,जीवित
171,एंड अदर मेजर फैक्टर मैं शायद रात को जिम,And Andrew Major Factor I might Jim at night,And Andrew Major Factor I might Jim at रात्रि,And Andrew Major Factor I might Jim at,night,रात्रि
172,करता हूं  बजे घर आता हूं मे भी ट्स,"I'll come home at noon, too.",I'll come home at दोपहर भी.,I'll come home at,"noon, too.",दोपहर भी.
173,व् बॉडी में स्ट्रेस बढ़ता है उस समय और,And at that time and at the time that the body grows,And at that time and at the time that the शरीर बढ़ता है,And at that time and at the time that the,body grows,शरीर बढ़ता है
174,स्लीप में अच्छे से नहीं हो पाती कोई नहीं,The sleep doesn't last for the best,The sleep doesn't last for the सर्वोत्तम,The sleep doesn't last for the,best,सर्वोत्तम
175,मशीन लगा द है मेरे को सबसे ज्यादा डर लग,The machine is the best I'm afraid,The machine is the सबसे अच्छा मैं डर रहा हूँ,The machine is the,best I'm afraid,सबसे अच्छा मैं डर रहा हूँ
176,रहा था ये नाक में डलर ना ये ये तार अंदर,These wires in the nose.,These wires in the नाक.,These wires in the,nose.,नाक.
177,घुसी हुई है मेरे को नाक मेरी बहुत,"It's all going into the open. No, it's my nose!","It's all going into the open. No, it's my नाक!","It's all going into the open. No, it's my",nose!,नाक!
178,सेंसिटिव है कोविड टेस्ट मेरी फटती थी बट,Sensitive KVed test was my bursting-up,Sensitive KVed test was my फट रहा है,Sensitive KVed test was my,bursting-up,फट रहा है
179,एनीवेज लरहा बम लगा के सो ने डे गुड,Erry Leaming bomb hit the De Good night.,Erry Leaming bomb hit the शुभ रात्रि.,Erry Leaming bomb hit the,De Good night.,शुभ रात्रि.
180,मॉर्निंग वेलकम बैक टू द बलग ये यंत्र,Morning Welck back to The Chag,Morning Welck back to The किचन,Morning Welck back to The,Chag,किचन
181,उतारते अपना लगाया था कहां प आ गया तो,"Which then came down, when it came?","Which then came down, when it आया?","Which then came down, when it",came?,आया?
182,उसने कहा था ल प्रेस रेड लाइट आएगी नहीं आ,She said I won't come the tea Press Red Light,She said I won't come the चाय दबाएँ लाल प्रकाश,She said I won't come the,tea Press Red Light,चाय दबाएँ लाल प्रकाश
183,रही फर्स्ट हा ओके ओके सो अर्ली मॉर्निंग,"It's okay, so Early morning.","It's okay, so जल्दी सुबह.","It's okay, so",Early morning.,जल्दी सुबह.
184,ल वी चेक आवर वाटल्स एंड बल प्रेशर एव डे,LIV ARRCH VAV AVAV Vttles and Power Pressure Mie,LIV ARRCH VAV AVAV Vttles and पॉवर का दबाव डॉ.,LIV ARRCH VAV AVAV Vttles and,Power Pressure Mie,पॉवर का दबाव डॉ.
185,एंड देन वी डू थ मिनट्स ऑफ आइस वाटर जिंजर,And John V. D. D. D. D.,And डी.,And,John V. D. D. D. D.,डी.
186,टी कैन वी स्टार्ट,T Cain V Start,T कैन वी प्रारंभ,T,Cain V Start,कैन वी प्रारंभ
187,दिस डालते  सेकंड के अंदर भयंकर समय,Fearful time within seconds,Fearful time within seconds ,Fearful time within seconds,,
188,भयंकर फील होते आ मतलब जल रहे हैं पैर इस,I mean they're coming up with an awful gel.,I mean they're coming up with an भयानक glemel.,I mean they're coming up with an,awful gel.,भयानक glemel.
189,समय तो नहीं हो रही इंप्रूव बट देखते हैं,Time doesn't seem to be running out.,Time doesn't seem to be बाहर चल रहा है.,Time doesn't seem to be,running out.,बाहर चल रहा है.
190,न मिनट करना है हैविंग वन कॉफी एंड सामने,No minute is going to have wild coffee and front.,No minute is going to have wild coffee and सामने.,No minute is going to have wild coffee and,front.,सामने.
191,का व्यू थोड़ा एंजॉय करते थोड़ी चिड़िया,The view is a little bird singing a bit,The view is a little bird singing a बिट,The view is a little bird singing a,bit,बिट
192,िया देखते हैं हमें अभी निकलना है,Leta see us get out right now,Leta see us get out right now ,Leta see us get out right now,,
193,मैक्स टेस्ट के लिए ट्रेडमिल प होता है,Comes business match for Max tests.,Comes business match for अधिकतम जाँच.,Comes business match for,Max tests.,अधिकतम जाँच.
194,हार्ट का कुछ चेक करते हैं व बोलता सबसे,Some Check the Heart and Speak the Most,Some Check the Heart and Speak the Most ,Some Check the Heart and Speak the Most,,
195,इंपोर्टेंट टेस्ट है यहां का वो तो देखते,The event is testing here. They see.,The event is testing here. They देखो.,The event is testing here. They,see.,देखो.
196,हैं पास हो पाते बहुत लोग फि जाते हैं,There's a lot of people getting closer,There's a lot of लोग निकट जा रहे हैं,There's a lot of,people getting closer,लोग निकट जा रहे हैं
197,संगीत,Music,Music ,Music,,
198,उसम,Kim,Kim ,Kim,,
199,संगीत,Music,Music ,Music,,
